scientific_name,english_name,family,iucn
Psittacus timneh,Timneh Parrot,Psittacidae,EN
Psittacus erithacus,Grey Parrot,Psittacidae,EN
Poicephalus gulielmi,Red-fronted Parrot,Psittacidae,LC
Poicephalus flavifrons,Yellow-fronted Parrot,Psittacidae,LC
Poicephalus robustus,Cape Parrot,Psittacidae,VU
Poicephalus fuscicollis,Brown-necked Parrot,Psittacidae,LC
Poicephalus meyeri,Brown Parrot,Psittacidae,LC
Poicephalus rueppellii,RÃ¼ppell's Parrot,Psittacidae,LC
Poicephalus cryptoxanthus,Brown-headed Parrot,Psittacidae,LC
Poicephalus crassus,Niam-niam Parrot,Psittacidae,LC
Poicephalus senegalus,Senegal Parrot,Psittacidae,LC
Poicephalus rufiventris,Red-bellied Parrot,Psittacidae,LC
Touit batavicus,Lilac-tailed Parrotlet,Psittacidae,LC
Touit huetii,Scarlet-shouldered Parrotlet,Psittacidae,VU
Touit costaricensis,Red-fronted Parrotlet,Psittacidae,VU
Touit dilectissimus,Blue-fronted Parrotlet,Psittacidae,LC
Touit purpuratus,Sapphire-rumped Parrotlet,Psittacidae,LC
Touit melanonotus,Brown-backed Parrotlet,Psittacidae,VU
Touit surdus,Golden-tailed Parrotlet,Psittacidae,VU
Touit stictopterus,Spot-winged Parrotlet,Psittacidae,VU
Psilopsiagon aymara,Grey-hooded Parakeet,Psittacidae,LC
Psilopsiagon aurifrons,Mountain Parakeet,Psittacidae,LC
Bolborhynchus lineola,Barred Parakeet,Psittacidae,LC
Bolborhynchus ferrugineifrons,Rufous-fronted Parakeet,Psittacidae,VU
Bolborhynchus orbygnesius,Andean Parakeet,Psittacidae,LC
Nannopsittaca panychlora,Tepui Parrotlet,Psittacidae,LC
Nannopsittaca dachilleae,Amazonian Parrotlet,Psittacidae,NT
Myiopsitta luchsi,Cliff Parakeet,Psittacidae,LC
Myiopsitta monachus,Monk Parakeet,Psittacidae,LC
Brotogeris sanctithomae,Tui Parakeet,Psittacidae,LC
Brotogeris tirica,Plain Parakeet,Psittacidae,LC
Brotogeris versicolurus,White-winged Parakeet,Psittacidae,LC
Brotogeris chiriri,Yellow-chevroned Parakeet,Psittacidae,LC
Brotogeris pyrrhoptera,Grey-cheeked Parakeet,Psittacidae,EN
Brotogeris jugularis,Orange-chinned Parakeet,Psittacidae,LC
Brotogeris cyanoptera,Cobalt-winged Parakeet,Psittacidae,LC
Brotogeris chrysoptera,Golden-winged Parakeet,Psittacidae,LC
Pionopsitta pileata,Pileated Parrot,Psittacidae,LC
Triclaria malachitacea,Blue-bellied Parrot,Psittacidae,NT
Pyrilia haematotis,Brown-hooded Parrot,Psittacidae,LC
Pyrilia pyrilia,Saffron-headed Parrot,Psittacidae,NT
Pyrilia pulchra,Rose-faced Parrot,Psittacidae,LC
Pyrilia barrabandi,Orange-cheeked Parrot,Psittacidae,NT
Pyrilia caica,Caica Parrot,Psittacidae,NT
Pyrilia aurantiocephala,Bald Parrot,Psittacidae,NT
Pyrilia vulturina,Vulturine Parrot,Psittacidae,VU
Hapalopsittaca amazonina,Rusty-faced Parrot,Psittacidae,VU
Hapalopsittaca fuertesi,Indigo-winged Parrot,Psittacidae,CR
Hapalopsittaca pyrrhops,Red-faced Parrot,Psittacidae,VU
Hapalopsittaca melanotis,Black-winged Parrot,Psittacidae,LC
Pionus fuscus,Dusky Parrot,Psittacidae,LC
Pionus sordidus,Red-billed Parrot,Psittacidae,LC
Pionus maximiliani,Scaly-headed Parrot,Psittacidae,LC
Pionus seniloides,White-capped Parrot,Psittacidae,LC
Pionus tumultuosus,Plum-crowned Parrot,Psittacidae,LC
Pionus menstruus,Blue-headed Parrot,Psittacidae,LC
Pionus reichenowi,Blue-breasted Parrot,Psittacidae,VU
Pionus senilis,White-crowned Parrot,Psittacidae,LC
Pionus chalcopterus,Bronze-winged Parrot,Psittacidae,LC
Graydidascalus brachyurus,Short-tailed Parrot,Psittacidae,LC
Alipiopsitta xanthops,Yellow-faced Amazon,Psittacidae,NT
Amazona bodini,Northern Festive Amazon,Psittacidae,NT
Amazona festiva,Southern Festive Amazon,Psittacidae,NT
Amazona vinacea,Vinaceous-breasted Amazon,Psittacidae,EN
Amazona tucumana,Tucuman Amazon,Psittacidae,VU
Amazona pretrei,Red-spectacled Amazon,Psittacidae,VU
Amazona agilis,Black-billed Amazon,Psittacidae,VU
Amazona albifrons,White-fronted Amazon,Psittacidae,LC
Amazona collaria,Yellow-billed Amazon,Psittacidae,VU
Amazona leucocephala,Cuban Amazon,Psittacidae,NT
Amazona ventralis,Hispaniolan Amazon,Psittacidae,VU
Amazona vittata,Puerto Rican Amazon,Psittacidae,CR
Amazona finschi,Lilac-crowned Amazon,Psittacidae,EN
Amazona autumnalis,Red-lored Amazon,Psittacidae,LC
Amazona lilacina,Lilacine Amazon,Psittacidae,EN
Amazona diadema,Diademed Amazon,Psittacidae,EN
Amazona viridigenalis,Red-crowned Amazon,Psittacidae,EN
Amazona xantholora,Yellow-lored Amazon,Psittacidae,LC
Amazona dufresniana,Blue-cheeked Amazon,Psittacidae,NT
Amazona rhodocorytha,Red-browed Amazon,Psittacidae,VU
Amazona arausiaca,Red-necked Amazon,Psittacidae,VU
Amazona martinicana,Martinique Amazon,Psittacidae,EX
Amazona versicolor,St Lucia Amazon,Psittacidae,VU
Amazona oratrix,Yellow-headed Amazon,Psittacidae,EN
Amazona auropalliata,Yellow-naped Amazon,Psittacidae,EN
Amazona ochrocephala,Yellow-crowned Amazon,Psittacidae,LC
Amazona barbadensis,Yellow-shouldered Amazon,Psittacidae,VU
Amazona aestiva,Turquoise-fronted Amazon,Psittacidae,NT
Amazona mercenarius,Scaly-naped Amazon,Psittacidae,LC
Amazona guatemalae,Northern Mealy Amazon,Psittacidae,NT
Amazona farinosa,Southern Mealy Amazon,Psittacidae,NT
Amazona kawalli,White-faced Amazon,Psittacidae,NT
Amazona imperialis,Imperial Amazon,Psittacidae,CR
Amazona violacea,Guadeloupe Amazon,Psittacidae,EX
Amazona brasiliensis,Red-tailed Amazon,Psittacidae,NT
Amazona amazonica,Orange-winged Amazon,Psittacidae,LC
Amazona guildingii,St Vincent Amazon,Psittacidae,VU
Forpus modestus,Dusky-billed Parrotlet,Psittacidae,LC
Forpus cyanopygius,Mexican Parrotlet,Psittacidae,NT
Forpus passerinus,Green-rumped Parrotlet,Psittacidae,LC
Forpus spengeli,Turquoise-winged Parrotlet,Psittacidae,LC
Forpus xanthopterygius,Blue-winged Parrotlet,Psittacidae,LC
Forpus conspicillatus,Spectacled Parrotlet,Psittacidae,LC
Forpus coelestis,Pacific Parrotlet,Psittacidae,LC
Forpus xanthops,Yellow-faced Parrotlet,Psittacidae,VU
Pionites melanocephalus,Black-headed Parrot,Psittacidae,LC
Pionites xanthomerius,Black-legged Parrot,Psittacidae,LC
Pionites xanthurus,Yellow-tailed Parrot,Psittacidae,VU
Pionites leucogaster,Green-thighed Parrot,Psittacidae,EN
Deroptyus accipitrinus,Red-fan Parrot,Psittacidae,LC
Pyrrhura cruentata,Ochre-marked Parakeet,Psittacidae,VU
Pyrrhura devillei,Blaze-winged Parakeet,Psittacidae,NT
Pyrrhura frontalis,Maroon-bellied Parakeet,Psittacidae,LC
Pyrrhura lepida,Pearly Parakeet,Psittacidae,VU
Pyrrhura perlata,Crimson-bellied Parakeet,Psittacidae,VU
Pyrrhura molinae,Green-cheeked Parakeet,Psittacidae,LC
Pyrrhura pfrimeri,Goias Parakeet,Psittacidae,EN
Pyrrhura griseipectus,Grey-breasted Parakeet,Psittacidae,EN
Pyrrhura emma,Venezuelan Parakeet,Psittacidae,LC
Pyrrhura leucotis,White-eared Parakeet,Psittacidae,VU
Pyrrhura eisenmanni,Azuero Parakeet,Psittacidae,EN
Pyrrhura subandina,Sinu Parakeet,Psittacidae,CR (PE)
Pyrrhura caeruleiceps,Perija Parakeet,Psittacidae,EN
Pyrrhura picta,Painted Parakeet,Psittacidae,LC
Pyrrhura amazonum,Santarem Parakeet,Psittacidae,EN
Pyrrhura snethlageae,Madeira Parakeet,Psittacidae,VU
Pyrrhura lucianii,Bonaparte's Parakeet,Psittacidae,LC
Pyrrhura peruviana,Wavy-breasted Parakeet,Psittacidae,LC
Pyrrhura parvifrons,Garlepp's Parakeet,Psittacidae,LC
Pyrrhura roseifrons,Rose-fronted Parakeet,Psittacidae,LC
Pyrrhura viridicata,Santa Marta Parakeet,Psittacidae,EN
Pyrrhura egregia,Fiery-shouldered Parakeet,Psittacidae,LC
Pyrrhura pacifica,Choco Parakeet,Psittacidae,LC
Pyrrhura chapmani,Upper Magdalena Parakeet,Psittacidae,VU
Pyrrhura melanura,Maroon-tailed Parakeet,Psittacidae,LC
Pyrrhura orcesi,El Oro Parakeet,Psittacidae,EN
Pyrrhura albipectus,White-necked Parakeet,Psittacidae,VU
Pyrrhura rupicola,Black-capped Parakeet,Psittacidae,NT
Pyrrhura calliptera,Brown-breasted Parakeet,Psittacidae,VU
Pyrrhura hoematotis,Red-eared Parakeet,Psittacidae,LC
Pyrrhura rhodocephala,Rose-headed Parakeet,Psittacidae,LC
Pyrrhura hoffmanni,Sulphur-winged Parakeet,Psittacidae,LC
Enicognathus ferrugineus,Austral Parakeet,Psittacidae,LC
Enicognathus leptorhynchus,Slender-billed Parakeet,Psittacidae,LC
Cyanoliseus patagonus,Burrowing Parrot,Psittacidae,LC
Anodorhynchus hyacinthinus,Hyacinth Macaw,Psittacidae,VU
Anodorhynchus leari,Lear's Macaw,Psittacidae,EN
Anodorhynchus glaucus,Glaucous Macaw,Psittacidae,CR (PE)
Rhynchopsitta pachyrhyncha,Thick-billed Parrot,Psittacidae,EN
Rhynchopsitta terrisi,Maroon-fronted Parrot,Psittacidae,EN
Eupsittula astec,Aztec Parakeet,Psittacidae,LC
Eupsittula nana,Jamaican Parakeet,Psittacidae,NT
Eupsittula canicularis,Orange-fronted Parakeet,Psittacidae,LC
Eupsittula aurea,Peach-fronted Parakeet,Psittacidae,LC
Eupsittula pertinax,Brown-throated Parakeet,Psittacidae,LC
Eupsittula cactorum,Cactus Parakeet,Psittacidae,LC
Conuropsis carolinensis,Carolina Parakeet,Psittacidae,EX
Aratinga weddellii,Dusky-headed Parakeet,Psittacidae,LC
Aratinga nenday,Nanday Parakeet,Psittacidae,LC
Aratinga solstitialis,Sun Parakeet,Psittacidae,EN
Aratinga maculata,Sulphur-breasted Parakeet,Psittacidae,LC
Aratinga jandaya,Jandaya Parakeet,Psittacidae,LC
Aratinga auricapillus,Golden-capped Parakeet,Psittacidae,NT
Cyanopsitta spixii,Spix's Macaw,Psittacidae,EW
Orthopsittaca manilatus,Red-bellied Macaw,Psittacidae,LC
Primolius couloni,Blue-headed Macaw,Psittacidae,VU
Primolius auricollis,Yellow-collared Macaw,Psittacidae,LC
Primolius maracana,Blue-winged Macaw,Psittacidae,NT
Ara ararauna,Blue-and-yellow Macaw,Psittacidae,LC
Ara glaucogularis,Blue-throated Macaw,Psittacidae,CR
Ara militaris,Military Macaw,Psittacidae,VU
Ara ambiguus,Great Green Macaw,Psittacidae,EN
Ara macao,Scarlet Macaw,Psittacidae,LC
Ara chloropterus,Red-and-green Macaw,Psittacidae,LC
Ara tricolor,Cuban Macaw,Psittacidae,EX
Ara rubrogenys,Red-fronted Macaw,Psittacidae,CR
Ara severus,Chestnut-fronted Macaw,Psittacidae,LC
Leptosittaca branickii,Golden-plumed Parakeet,Psittacidae,VU
Ognorhynchus icterotis,Yellow-eared Parrot,Psittacidae,EN
Guaruba guarouba,Golden Parakeet,Psittacidae,VU
Diopsittaca nobilis,Northern Red-shouldered Macaw,Psittacidae,LC
Diopsittaca cumanensis,Southern Red-shouldered Macaw,Psittacidae,LC
Psittacara acuticaudatus,Blue-crowned Parakeet,Psittacidae,LC
Psittacara holochlorus,Green Parakeet,Psittacidae,LC
Psittacara rubritorquis,Red-throated Parakeet,Psittacidae,LC
Psittacara wagleri,Scarlet-fronted Parakeet,Psittacidae,NT
Psittacara frontatus,Cordilleran Parakeet,Psittacidae,NT
Psittacara mitratus,Mitred Parakeet,Psittacidae,LC
Psittacara erythrogenys,Red-masked Parakeet,Psittacidae,NT
Psittacara finschi,Crimson-fronted Parakeet,Psittacidae,LC
Psittacara leucophthalmus,White-eyed Parakeet,Psittacidae,LC
Psittacara euops,Cuban Parakeet,Psittacidae,VU
Psittacara chloropterus,Hispaniolan Parakeet,Psittacidae,VU
Psittacara labati,Guadeloupe Parakeet,Psittacidae,EX
Psittrichas fulgidus,Pesquet's Parrot,Psittacidae,VU
Mascarinus mascarin,Mascarene Parrot,Psittacidae,EX
Coracopsis vasa,Vasa Parrot,Psittacidae,LC
Coracopsis nigra,Black Parrot,Psittacidae,LC
Coracopsis barklyi,Seychelles Parrot,Psittacidae,VU
Coracopsis sibilans,Comoro Parrot,Psittacidae,NT
Psephotus haematonotus,Red-rumped Parrot,Psittacidae,LC
Northiella haematogaster,Bluebonnet,Psittacidae,LC
Psephotellus varius,Mulga Parrot,Psittacidae,LC
Psephotellus dissimilis,Hooded Parrot,Psittacidae,LC
Psephotellus chrysopterygius,Golden-shouldered Parrot,Psittacidae,EN
Psephotellus pulcherrimus,Paradise Parrot,Psittacidae,EX
Purpureicephalus spurius,Red-capped Parrot,Psittacidae,LC
Platycercus caledonicus,Green Rosella,Psittacidae,LC
Platycercus elegans,Crimson Rosella,Psittacidae,LC
Platycercus venustus,Northern Rosella,Psittacidae,LC
Platycercus adscitus,Pale-headed Rosella,Psittacidae,LC
Platycercus eximius,Eastern Rosella,Psittacidae,LC
Platycercus icterotis,Western Rosella,Psittacidae,LC
Barnardius zonarius,Australian Ringneck,Psittacidae,LC
Lathamus discolor,Swift Parrot,Psittacidae,CR
Prosopeia splendens,Crimson Shining-parrot,Psittacidae,VU
Prosopeia personata,Masked Shining-parrot,Psittacidae,NT
Prosopeia tabuensis,Maroon Shining-parrot,Psittacidae,LC
Eunymphicus cornutus,Horned Parakeet,Psittacidae,VU
Eunymphicus uvaeensis,Ouvea Parakeet,Psittacidae,VU
Cyanoramphus zealandicus,Black-fronted Parakeet,Psittacidae,EX
Cyanoramphus ulietanus,Raiatea Parakeet,Psittacidae,EX
Cyanoramphus unicolor,Antipodes Parakeet,Psittacidae,VU
Cyanoramphus forbesi,Chatham Parakeet,Psittacidae,VU
Cyanoramphus auriceps,Yellow-fronted Parakeet,Psittacidae,NT
Cyanoramphus malherbi,Malherbe's Parakeet,Psittacidae,CR
Cyanoramphus novaezelandiae,Red-fronted Parakeet,Psittacidae,LC
Pezoporus wallicus,Ground Parrot,Psittacidae,LC
Pezoporus occidentalis,Night Parrot,Psittacidae,EN
Neopsephotus bourkii,Bourke's Parrot,Psittacidae,LC
Neophema chrysostoma,Blue-winged Parrot,Psittacidae,LC
Neophema elegans,Elegant Parrot,Psittacidae,LC
Neophema petrophila,Rock Parrot,Psittacidae,LC
Neophema chrysogaster,Orange-bellied Parrot,Psittacidae,CR
Neophema pulchella,Turquoise Parrot,Psittacidae,LC
Neophema splendida,Scarlet-chested Parrot,Psittacidae,LC
Psittacella brehmii,Brehm's Tiger-parrot,Psittacidae,LC
Psittacella lorentzi,Snow Mountain Tiger-parrot,Psittacidae,LC
Psittacella picta,Painted Tiger-parrot,Psittacidae,LC
Psittacella modesta,Modest Tiger-parrot,Psittacidae,LC
Psittacella madaraszi,Madarasz's Tiger-parrot,Psittacidae,LC
Oreopsittacus arfaki,Plum-faced Lorikeet,Psittacidae,LC
Charmosyna palmarum,Palm Lorikeet,Psittacidae,VU
Charmosyna rubrigularis,Red-chinned Lorikeet,Psittacidae,LC
Charmosyna meeki,Meek's Lorikeet,Psittacidae,NT
Charmosyna toxopei,Blue-fronted Lorikeet,Psittacidae,CR
Charmosyna multistriata,Striated Lorikeet,Psittacidae,NT
Charmosyna wilhelminae,Pygmy Lorikeet,Psittacidae,LC
Charmosyna rubronotata,Red-fronted Lorikeet,Psittacidae,LC
Charmosyna placentis,Red-flanked Lorikeet,Psittacidae,LC
Charmosyna diadema,New Caledonian Lorikeet,Psittacidae,CR (PE)
Charmosyna amabilis,Red-throated Lorikeet,Psittacidae,CR
Charmosyna margarethae,Duchess Lorikeet,Psittacidae,NT
Charmosyna pulchella,Fairy Lorikeet,Psittacidae,LC
Charmosyna josefinae,Josephine's Lorikeet,Psittacidae,LC
Charmosyna papou,Papuan Lorikeet,Psittacidae,LC
Charmosyna stellae,Stella's Lorikeet,Psittacidae,LC
Vini australis,Blue-crowned Lorikeet,Psittacidae,LC
Vini kuhlii,Rimatara Lorikeet,Psittacidae,EN
Vini stepheni,Henderson Lorikeet,Psittacidae,VU
Vini peruviana,Blue Lorikeet,Psittacidae,VU
Vini ultramarina,Ultramarine Lorikeet,Psittacidae,CR
Phigys solitarius,Collared Lory,Psittacidae,LC
Neopsittacus musschenbroekii,Yellow-billed Lorikeet,Psittacidae,LC
Neopsittacus pullicauda,Orange-billed Lorikeet,Psittacidae,LC
Glossopsitta concinna,Musk Lorikeet,Psittacidae,LC
Glossopsitta pusilla,Little Lorikeet,Psittacidae,LC
Glossopsitta porphyrocephala,Purple-crowned Lorikeet,Psittacidae,LC
Lorius garrulus,Chattering Lory,Psittacidae,VU
Lorius domicella,Purple-naped Lory,Psittacidae,EN
Lorius lory,Black-capped Lory,Psittacidae,LC
Lorius hypoinochrous,Purple-bellied Lory,Psittacidae,LC
Lorius albidinucha,White-naped Lory,Psittacidae,NT
Lorius chlorocercus,Yellow-bibbed Lory,Psittacidae,LC
Chalcopsitta atra,Black Lory,Psittacidae,LC
Chalcopsitta duivenbodei,Brown Lory,Psittacidae,LC
Chalcopsitta scintillata,Yellow-streaked Lory,Psittacidae,LC
Chalcopsitta cardinalis,Cardinal Lory,Psittacidae,LC
Pseudeos fuscata,Dusky Lory,Psittacidae,LC
Psitteuteles versicolor,Varied Lorikeet,Psittacidae,LC
Psitteuteles iris,Iris Lorikeet,Psittacidae,NT
Psitteuteles goldiei,Goldie's Lorikeet,Psittacidae,LC
Eos histrio,Red-and-blue Lory,Psittacidae,EN
Eos squamata,Violet-necked Lory,Psittacidae,LC
Eos bornea,Red Lory,Psittacidae,LC
Eos reticulata,Blue-streaked Lory,Psittacidae,NT
Eos cyanogenia,Black-winged Lory,Psittacidae,VU
Eos semilarvata,Blue-eared Lory,Psittacidae,NT
Trichoglossus ornatus,Ornate Lorikeet,Psittacidae,LC
Trichoglossus forsteni,Scarlet-breasted Lorikeet,Psittacidae,VU
Trichoglossus weberi,Flores Lorikeet,Psittacidae,NT
Trichoglossus capistratus,Marigold Lorikeet,Psittacidae,LC
Trichoglossus haematodus,Coconut Lorikeet,Psittacidae,LC
Trichoglossus rosenbergii,Biak Lorikeet,Psittacidae,VU
Trichoglossus moluccanus,Rainbow Lorikeet,Psittacidae,LC
Trichoglossus rubritorquis,Red-collared Lorikeet,Psittacidae,LC
Trichoglossus euteles,Olive-headed Lorikeet,Psittacidae,LC
Trichoglossus meyeri,Mustard-capped Lorikeet,Psittacidae,LC
Trichoglossus flavoviridis,Yellow-and-green Lorikeet,Psittacidae,LC
Trichoglossus johnstoniae,Mindanao Lorikeet,Psittacidae,NT
Trichoglossus rubiginosus,Pohnpei Lorikeet,Psittacidae,NT
Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,Psittacidae,LC
Melopsittacus undulatus,Budgerigar,Psittacidae,LC
Psittaculirostris desmarestii,Large Fig-parrot,Psittacidae,LC
Psittaculirostris godmani,Yellow-naped Fig-parrot,Psittacidae,LC
Psittaculirostris cervicalis,Red-faced Fig-parrot,Psittacidae,LC
Psittaculirostris edwardsii,Edwards's Fig-parrot,Psittacidae,LC
Psittaculirostris salvadorii,Salvadori's Fig-parrot,Psittacidae,LC
Cyclopsitta gulielmitertii,Blue-fronted Fig-parrot,Psittacidae,LC
Cyclopsitta nigrifrons,Black-fronted Fig-parrot,Psittacidae,LC
Cyclopsitta amabilis,Creamy-breasted Fig-parrot,Psittacidae,LC
Cyclopsitta melanogenia,Dusky-cheeked Fig-parrot,Psittacidae,LC
Cyclopsitta diophthalma,Double-eyed Fig-parrot,Psittacidae,LC
Cyclopsitta coxeni,Coxen's Fig-parrot,Psittacidae,EN
Bolbopsittacus lunulatus,Guaiabero,Psittacidae,LC
Loriculus vernalis,Vernal Hanging-parrot,Psittacidae,LC
Loriculus beryllinus,Sri Lanka Hanging-parrot,Psittacidae,LC
Loriculus philippensis,Philippine Hanging-parrot,Psittacidae,LC
Loriculus galgulus,Blue-crowned Hanging-parrot,Psittacidae,LC
Loriculus stigmatus,Sulawesi Hanging-parrot,Psittacidae,LC
Loriculus sclateri,Sula Hanging-parrot,Psittacidae,LC
Loriculus amabilis,Moluccan Hanging-parrot,Psittacidae,LC
Loriculus catamene,Sangihe Hanging-parrot,Psittacidae,NT
Loriculus aurantiifrons,Orange-fronted Hanging-parrot,Psittacidae,LC
Loriculus tener,Bismarck Hanging-parrot,Psittacidae,NT
Loriculus exilis,Pygmy Hanging-parrot,Psittacidae,NT
Loriculus pusillus,Yellow-throated Hanging-parrot,Psittacidae,NT
Loriculus flosculus,Flores Hanging-parrot,Psittacidae,VU
Agapornis canus,Grey-headed Lovebird,Psittacidae,LC
Agapornis pullarius,Red-headed Lovebird,Psittacidae,LC
Agapornis taranta,Black-winged Lovebird,Psittacidae,LC
Agapornis swindernianus,Black-collared Lovebird,Psittacidae,LC
Agapornis roseicollis,Rosy-faced Lovebird,Psittacidae,LC
Agapornis fischeri,Fischer's Lovebird,Psittacidae,NT
Agapornis personatus,Yellow-collared Lovebird,Psittacidae,LC
Agapornis lilianae,Nyasa Lovebird,Psittacidae,NT
Agapornis nigrigenis,Black-cheeked Lovebird,Psittacidae,VU
Polytelis swainsonii,Superb Parrot,Psittacidae,LC
Polytelis anthopeplus,Regent Parrot,Psittacidae,LC
Polytelis alexandrae,Princess Parrot,Psittacidae,NT
Alisterus amboinensis,Moluccan King-parrot,Psittacidae,LC
Alisterus chloropterus,Papuan King-parrot,Psittacidae,LC
Alisterus scapularis,Australian King-parrot,Psittacidae,LC
Aprosmictus jonquillaceus,Jonquil Parrot,Psittacidae,NT
Aprosmictus erythropterus,Red-winged Parrot,Psittacidae,LC
Prioniturus mada,Buru Racquet-tail,Psittacidae,LC
Prioniturus platurus,Golden-mantled Racquet-tail,Psittacidae,LC
Prioniturus waterstradti,Mindanao Racquet-tail,Psittacidae,NT
Prioniturus montanus,Montane Racquet-tail,Psittacidae,NT
Prioniturus platenae,Blue-headed Racquet-tail,Psittacidae,VU
Prioniturus mindorensis,Mindoro Racquet-tail,Psittacidae,VU
Prioniturus verticalis,Sulu Racquet-tail,Psittacidae,CR
Prioniturus flavicans,Yellowish-breasted Racquet-tail,Psittacidae,NT
Prioniturus luconensis,Green Racquet-tail,Psittacidae,EN
Prioniturus discurus,Blue-crowned Racquet-tail,Psittacidae,LC
Eclectus roratus,Moluccan Eclectus,Psittacidae,LC
Eclectus cornelia,Sumba Eclectus,Psittacidae,EN
Eclectus riedeli,Tanimbar Eclectus,Psittacidae,VU
Eclectus polychloros,Papuan Eclectus,Psittacidae,LC
Eclectus infectus,Oceanic Parrot,Psittacidae,EX
Geoffroyus geoffroyi,Red-cheeked Parrot,Psittacidae,LC
Geoffroyus simplex,Blue-collared Parrot,Psittacidae,LC
Geoffroyus heteroclitus,Song Parrot,Psittacidae,LC
Geoffroyus hyacinthinus,Rennell Parrot,Psittacidae,LC
Tanygnathus megalorynchos,Great-billed Parrot,Psittacidae,LC
Tanygnathus lucionensis,Blue-naped Parrot,Psittacidae,NT
Tanygnathus sumatranus,Blue-backed Parrot,Psittacidae,LC
Tanygnathus gramineus,Black-lored Parrot,Psittacidae,VU
Psittinus cyanurus,Blue-rumped Parrot,Psittacidae,NT
Psittinus abbotti,Simeulue Parrot,Psittacidae,NT
Psittacula finschii,Grey-headed Parakeet,Psittacidae,NT
Psittacula himalayana,Slaty-headed Parakeet,Psittacidae,LC
Psittacula roseata,Blossom-headed Parakeet,Psittacidae,NT
Psittacula cyanocephala,Plum-headed Parakeet,Psittacidae,LC
Psittacula alexandri,Red-breasted Parakeet,Psittacidae,NT
Psittacula derbiana,Lord Derby's Parakeet,Psittacidae,NT
Psittacula longicauda,Long-tailed Parakeet,Psittacidae,VU
Psittacula caniceps,Nicobar Parakeet,Psittacidae,NT
Psittacula columboides,Malabar Parakeet,Psittacidae,LC
Psittacula calthrapae,Emerald-collared Parakeet,Psittacidae,LC
Psittacula eupatria,Alexandrine Parakeet,Psittacidae,NT
Psittacula wardi,Seychelles Parakeet,Psittacidae,EX
Psittacula krameri,Rose-ringed Parakeet,Psittacidae,LC
Psittacula eques,Echo Parakeet,Psittacidae,VU
Psittacula exsul,Rodrigues Parakeet,Psittacidae,EX
Lophopsittacus bensoni,Mauritius Grey Parrot,Psittacidae,EX
Lophopsittacus mauritianus,Broad-billed Parrot,Psittacidae,EX
Necropsittacus rodricanus,Rodrigues Parrot,Psittacidae,EX
Micropsitta keiensis,Yellow-capped Pygmy-parrot,Psittacidae,LC
Micropsitta geelvinkiana,Geelvink Pygmy-parrot,Psittacidae,NT
Micropsitta pusio,Buff-faced Pygmy-parrot,Psittacidae,LC
Micropsitta meeki,Yellow-breasted Pygmy-parrot,Psittacidae,LC
Micropsitta finschii,Green Pygmy-parrot,Psittacidae,LC
Micropsitta bruijnii,Red-breasted Pygmy-parrot,Psittacidae,LC
Nymphicus hollandicus,Cockatiel,Cacatuidae (Cockatoos),LC
Calyptorhynchus banksii,Red-tailed Black-cockatoo,Cacatuidae (Cockatoos),LC
Calyptorhynchus lathami,Glossy Black-cockatoo,Cacatuidae (Cockatoos),LC
Zanda funerea,Yellow-tailed Black-cockatoo,Cacatuidae (Cockatoos),LC
Zanda baudinii,Long-billed Black-cockatoo,Cacatuidae (Cockatoos),EN
Zanda latirostris,Short-billed Black-cockatoo,Cacatuidae (Cockatoos),EN
Probosciger aterrimus,Palm Cockatoo,Cacatuidae (Cockatoos),LC
Callocephalon fimbriatum,Gang-gang Cockatoo,Cacatuidae (Cockatoos),LC
Eolophus roseicapilla,Galah,Cacatuidae (Cockatoos),LC
Cacatua leadbeateri,Major Mitchell's Cockatoo,Cacatuidae (Cockatoos),LC
Cacatua tenuirostris,Long-billed Corella,Cacatuidae (Cockatoos),LC
Cacatua pastinator,Western Corella,Cacatuidae (Cockatoos),LC
Cacatua sanguinea,Little Corella,Cacatuidae (Cockatoos),LC
Cacatua goffiniana,Tanimbar Corella,Cacatuidae (Cockatoos),NT
Cacatua ducorpsii,Solomons Corella,Cacatuidae (Cockatoos),LC
Cacatua haematuropygia,Philippine Cockatoo,Cacatuidae (Cockatoos),CR
Cacatua galerita,Sulphur-crested Cockatoo,Cacatuidae (Cockatoos),LC
Cacatua ophthalmica,Blue-eyed Cockatoo,Cacatuidae (Cockatoos),VU
Cacatua sulphurea,Yellow-crested Cockatoo,Cacatuidae (Cockatoos),CR
Cacatua moluccensis,Salmon-crested Cockatoo,Cacatuidae (Cockatoos),VU
Cacatua alba,White Cockatoo,Cacatuidae (Cockatoos),EN
Strigops habroptila,Kakapo,Strigopidae (New Zealand Parrots),CR
Nestor notabilis,Kea,Strigopidae (New Zealand Parrots),EN
Nestor productus,Norfolk Kaka,Strigopidae (New Zealand Parrots),EX
Nestor meridionalis,New Zealand Kaka,Strigopidae (New Zealand Parrots),EN
